,topic_idx,topic_score,topic_name,cat,transcript_words,topic_words
1,1,0.131,politique,politique,"['incompatibilité', 'élection', 'vraisemblance', 'mandat', 'renonciation', 'communiqué', 'député', 'conseiller', 'échéance', 'élu']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
2,14,0.134,logement,extérieur,"['potentat', 'carte', 'visite', 'blocage', 'fusil', 'diplomate', 'pouvoir', 'moment', 'proportionnalité', 'impliqué']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
25,7,0.226,armée,armée-sécurité,"['armée', 'effectif', 'commandement', 'deva', 'soldat', 'militaire', 'chef', 'minimum', 'menace', 'organigramme']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
32,7,1,armée,armée-sécurité,"['armée', 'arrêté', 'deva', 'référendum', 'plafond', 'réalisation', 'dépense', 'acte', 'financement', 'économie']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
46,9,1,extérieur,extérieur,"['aide', 'développement', 'profit', 'taux', 'budget', 'aberration', 'sillage', 'réduction', 'exemple', 'geste']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
59,7,0.258,armée,armée-sécurité,"['organisation', 'délai', 'accomplissement', 'équipement', 'armement', 'personnel', 'tâche', 'changement', 'examen', 'sécurité']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
60,3,0.127,société,justice,"['négation', 'génocide', 'paragraphe', 'condamnation', 'arrêt', 'norme', 'application', 'compatibilité', 'conception', 'espèce']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
61,10,0.058,sécurité,télécommunications,"['préposé', 'donnée', 'esquisse', 'protection', 'tâche', 'révision', 'moyen', 'site', 'août', 'avril']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
67,2,1,économie,finance,"['rétroactivité', 'suspens', 'intérêt', 'changement', 'pratique', 'clause', 'imposition', 'débattion', 'sanctionné', 'rappelon']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
76,0,0.147,santé,santé,"['médecin', 'pilotage', 'règle', 'compromis', 'pérennisation', 'décembre', 'règlementation', 'renoncement', 'ambulatoire', 'vote']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
99,22,0.144,communication,télécommunications,"['office', 'commune', 'poste', 'fermeture', 'maintien', 'citoyen', 'autorité', 'région', 'emploi', 'agence']",numéro - distribution - service - réseau - agence - poste - office - donnée - région - antenne
101,17,0.061,autre,politique,"['coupe', 'bazooka', 'tibia', 'gesticulation', 'méthodologie', 'bête', 'mélange', 'vache', 'objet', 'condition']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
104,4,0.044,agriculture,agriculture-faune,"['industrie', 'miroir', 'transformé', 'budget', 'produit', 'corollaire', 'pérennité', 'céréale', 'montant', 'lait']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
116,13,0.106,immigration,immigration,"['nez', 'bout', 'appui', 'frontière', 'gouvernement', 'armée', 'infrastructure', 'propos', 'contrôle', 'rôle']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
122,3,0.053,société,société,"['enfant', 'gestation', 'substitution', 'maternité', 'couple', 'filiation', 'mère', 'parent', 'intention', 'origine']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
137,1,0.27,politique,politique,"['arrêté', 'exposé', 'opposition', 'unanimité', 'acte', 'vote', 'abstention', 'heure', 'ensemble', 'point']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
143,17,0.097,autre,agriculture-faune,"['divergence', 'crédit', 'agriculture', 'investissement', 'budget', 'recherche', 'faveur', 'soir', 'coupe', 'diminution']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
167,16,0.187,retraite,retraite-rentes,"['solidarité', 'retraite', 'opportunité', 'pilier', 'rente', 'jeune', 'âge', 'train', 'vie', 'moyen']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
175,16,0.088,retraite,retraite-rentes,"['rente', 'retraite', 'cotisation', 'retraité', 'pilier', 'capital', 'revenu', 'prévoyance', 'caisse', 'moyenne']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
180,16,0.455,retraite,retraite-rentes,"['solidarité', 'prestation', 'rente', 'main', 'corde', 'côté', 'arrosoir', 'financement', 'av', 'vieillissement']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
193,2,0.119,économie,économie,"['bond', 'emprunt', 'investisseur', 'impôt', 'révision', 'exonération', 'banque', 'terme', 'émission', 'modification']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
202,13,0.137,immigration,immigration,"['signal', 'banalisation', 'frontalier', 'immigration', 'masse', 'problème', 'février', 'train', 'instrument', 'voie']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
