,cat,transcript_words,transcript_idx,IdSession,ID
1,politique,"['incompatibilité', 'élection', 'vraisemblance', 'mandat', 'renonciation', 'communiqué', 'député', 'conseiller', 'échéance', 'élu']",1,5001,191158
2,extérieur,"['potentat', 'carte', 'visite', 'blocage', 'fusil', 'diplomate', 'pouvoir', 'moment', 'proportionnalité', 'impliqué']",2,5001,191267
25,armée-sécurité,"['armée', 'effectif', 'commandement', 'deva', 'soldat', 'militaire', 'chef', 'minimum', 'menace', 'organigramme']",26,5001,191603
32,armée-sécurité,"['armée', 'arrêté', 'deva', 'référendum', 'plafond', 'réalisation', 'dépense', 'acte', 'financement', 'économie']",34,5001,191682
46,extérieur,"['aide', 'développement', 'profit', 'taux', 'budget', 'aberration', 'sillage', 'réduction', 'exemple', 'geste']",49,5001,191929
59,armée-sécurité,"['organisation', 'délai', 'accomplissement', 'équipement', 'armement', 'personnel', 'tâche', 'changement', 'examen', 'sécurité']",63,5001,192028
60,justice,"['négation', 'génocide', 'paragraphe', 'condamnation', 'arrêt', 'norme', 'application', 'compatibilité', 'conception', 'espèce']",64,5001,192032
61,télécommunications,"['préposé', 'donnée', 'esquisse', 'protection', 'tâche', 'révision', 'moyen', 'site', 'août', 'avril']",67,5001,192037
67,finance,"['rétroactivité', 'suspens', 'intérêt', 'changement', 'pratique', 'clause', 'imposition', 'débattion', 'sanctionné', 'rappelon']",74,5001,192184
76,santé,"['médecin', 'pilotage', 'règle', 'compromis', 'pérennisation', 'décembre', 'règlementation', 'renoncement', 'ambulatoire', 'vote']",83,5001,192372
99,télécommunications,"['office', 'commune', 'poste', 'fermeture', 'maintien', 'citoyen', 'autorité', 'région', 'emploi', 'agence']",106,5001,192598
101,politique,"['coupe', 'bazooka', 'tibia', 'gesticulation', 'méthodologie', 'bête', 'mélange', 'vache', 'objet', 'condition']",108,5001,192713
104,agriculture-faune,"['industrie', 'miroir', 'transformé', 'budget', 'produit', 'corollaire', 'pérennité', 'céréale', 'montant', 'lait']",111,5001,192782
116,immigration,"['nez', 'bout', 'appui', 'frontière', 'gouvernement', 'armée', 'infrastructure', 'propos', 'contrôle', 'rôle']",124,5001,192903
122,société,"['enfant', 'gestation', 'substitution', 'maternité', 'couple', 'filiation', 'mère', 'parent', 'intention', 'origine']",130,5001,192913
137,politique,"['arrêté', 'exposé', 'opposition', 'unanimité', 'acte', 'vote', 'abstention', 'heure', 'ensemble', 'point']",145,5001,193094
143,agriculture-faune,"['divergence', 'crédit', 'agriculture', 'investissement', 'budget', 'recherche', 'faveur', 'soir', 'coupe', 'diminution']",152,5001,193267
167,retraite-rentes,"['solidarité', 'retraite', 'opportunité', 'pilier', 'rente', 'jeune', 'âge', 'train', 'vie', 'moyen']",178,5001,193615
175,retraite-rentes,"['rente', 'retraite', 'cotisation', 'retraité', 'pilier', 'capital', 'revenu', 'prévoyance', 'caisse', 'moyenne']",188,5001,193681
180,retraite-rentes,"['solidarité', 'prestation', 'rente', 'main', 'corde', 'côté', 'arrosoir', 'financement', 'av', 'vieillissement']",193,5001,193728
193,économie,"['bond', 'emprunt', 'investisseur', 'impôt', 'révision', 'exonération', 'banque', 'terme', 'émission', 'modification']",206,5001,193889
202,immigration,"['signal', 'banalisation', 'frontalier', 'immigration', 'masse', 'problème', 'février', 'train', 'instrument', 'voie']",215,5001,193970
208,santé,"['maladie', 'santé', 'consommation', 'problème', 'désolidarisation', 'fautif', 'dentiste', 'köppel', 'portion', 'dent']",222,5001,193953
211,politique,"['assermentation', 'chancelière', 'cérémonie', 'passion', 'membre', 'ouverture', 'participation', 'séance', 'ordre', 'prestation']",225,5001,191175
249,finance,"['coupe', 'dépense', 'budget', 'bien', 'diminution', 'office', 'exploitation', 'liste', 'quasi', 'temps']",264,5001,192552
261,formation-recherche,"['examen', 'formation', 'cours', 'modification', 'mars', 'contribution', 'cursus', 'financement', 'révision', 'avancement']",277,5001,192817
295,politique,"['élection', 'originaire', 'décembre', 'indication', 'publication', 'octobre', 'exercice', 'arrêté', 'liste', 'mandat']",311,5002,194253
299,économie,"['achat', 'tourisme', 'heure', 'étranger', 'réglementation', 'législation', 'page', 'message', 'siphon', 'ouverture']",315,5002,194268
302,économie,"['tourisme', 'achat', 'magasin', 'compétence', 'perte', 'heure', 'compte', 'samedi', 'ouverture', 'week']",318,5002,194279
303,emploi,"['magasin', 'soirée', 'ouverture', 'employé', 'parent', 'journée', 'régater', 'heure', 'employeur', 'industrie']",319,5002,194292
322,extérieur,"['partenariat', 'région', 'éducation', 'coopération', 'priorité', 'économie', 'migration', 'formation', 'début', 'crise']",340,5002,194566
323,extérieur,"['voie', 'étude', 'circulation', 'fond', 'clause', 'esprit', 'originalité', 'concertée', 'solution', 'priorité']",341,5002,194569
349,télécommunications,"['donnée', 'télécommunication', 'protection', 'service', 'couleuvre', 'coffre', 'choix', 'vie', 'label', 'patrimoine']",370,5002,195137
350,justice,"['amende', 'procédure', 'infraction', 'stupéfiant', 'ordre', 'substance', 'abstention', 'tribunal', 'répressif', 'système']",371,5002,195136
356,politique,"['confrère', 'problématique', 'ordonnance', 'ministère', 'risque', 'amende', 'opposition', 'système']",377,5002,195165
375,immigration,"['visa', 'vis', 'empreinte', 'dignitaire', 'consulat', 'franchissement', 'lecteur', 'vignette', 'contrôle', 'autorité']",397,5002,195374
377,politique,"['information', 'coordination', 'stratégie', 'ère', 'société', 'réexamen', 'numérique', 'renouvellement', 'mise', 'complexité']",399,5002,195395
390,société,"['meilleur', 'structure', 'quota', 'critère', 'science', 'représentation', 'région', 'sexe', 'coeur', 'innovation']",414,5002,195526
394,finance,"['source', 'imposition', 'revenu', 'taxation', 'révision', 'régime', 'résidente', 'exactitude', 'résident', 'frontalier']",419,5002,195633
397,finance,"['contribuable', 'mensuel', 'dessein', 'semblant', 'revenu', 'exactitude', 'défaveur', 'talent', 'gré', 'fraude']",422,5002,195718
398,finance,"['conférencier', 'sportif', 'forfait', 'artiste', 'catégorie', 'source', 'frais', 'résidente', 'théâtre', 'différenciation']",423,5002,195720
401,finance,"['convention', 'imposition', 'renseignement', 'échange', 'arbitrage', 'dividende', 'impôt', 'clause', 'intérêt', 'modèle']",426,5002,195740
419,agriculture-faune,"['production', 'ville', 'page', 'denrée', 'compétiteur', 'importation', 'facteur', 'population', 'agriculture', 'raréfaction']",445,5002,196091
421,agriculture-faune,"['hectare', 'prix', 'jachère', 'agriculture', 'blé', 'subvention', 'lait', 'production', 'révolte', 'sécurité']",447,5002,196110
424,agriculture-faune,"['nourriture', 'paysan', 'quantité', 'adressant', 'terme', 'force', 'taux', 'dignement', 'formulaire', 'autoapprovisionnement']",451,5002,196139
426,agriculture-faune,"['paiement', 'instar', 'hauteur', 'exploitation', 'agriculture', 'prix', 'produit', 'prestation', 'montant', 'population']",453,5002,196191
438,retraite-rentes,"['croissance', 'fri', 'recherche', 'formation', 'priorité', 'encouragement', 'innovation', 'relève', 'ressource', 'étudiant']",465,5002,196247
453,armée-sécurité,"['bataillon', 'armée', 'unité', 'carabinier', 'dépôt', 'parti', 'deva', 'élan', 'société', 'soutien']",480,5002,196405
457,manifestation-loisirs,"['sport', 'garçon', 'fille', 'attrait', 'sexe', 'incitation', 'communication', 'liste', 'impact', 'effort']",484,5002,196409
472,finance,"['quotient', 'concubin', 'texte', 'plaisir', 'modalité', 'système', 'couple', 'parallèle', 'inégalité', 'impôt']",499,5002,196442
474,finance,"['imposition', 'système', 'accent', 'évidence', 'octobre', 'consultation', 'résultat']",501,5002,196444
487,immigration,"['migration', 'agenda', 'partenariat', 'dialogue', 'homologue', 'rencontre', 'renvoi', 'mission', 'collaboration', 'marge']",515,5002,196495
490,politique,"['négociation', 'satisfaite', 'travail', 'périmètre', 'réunion', 'statu', 'long', 'niveau', 'taxe', 'contact']",518,5002,196500
499,immigration,"['test', 'phase', 'accélération', 'évaluation', 'asile', 'procédure', 'recours', 'restructuration', 'déroulement', 'rentabilité']",527,5002,196532
500,immigration,"['centre', 'asile', 'départ', 'procédure', 'cadencé', 'exécution', 'renvoi', 'encadrement', 'accélération', 'occupation']",528,5002,196528
505,immigration,"['naturalisation', 'formulation', 'mariage', 'partenariat', 'nationalité', 'invition', 'discrimination', 'civil', 'modification', 'principe']",533,5002,196627
525,justice,"['casier', 'extrait', 'donnée', 'autorité', 'protection', 'ordonnance', 'révision', 'sécurité', 'classement', 'totalité']",554,5002,196816
528,justice,"['casier', 'entreprise', 'création', 'antécédent', 'registre', 'extrait', 'juge', 'incriminé', 'récidiver', 'peine']",557,5002,196898
529,justice,"['casier', 'création', 'vue', 'entreprise', 'point', 'patte', 'récidive', 'corruption', 'jugement', 'image']",558,5002,196895
537,justice,"['casier', 'accusé', 'classement', 'peine', 'acte', 'auteur', 'coupable', 'exactitude', 'ordonnance', 'réparation']",566,5002,196938
538,justice,"['casier', 'registre', 'ouverture', 'précédente', 'punition', 'innocence', 'présomption', 'cours', 'condamnation', 'personnalité']",568,5002,196939
552,finance,"['réforme', 'imposition', 'référendum', 'timbre', 'adversaire', 'tonnage', 'entreprise', 'capital', 'statut', 'émission']",582,5002,197116
559,finance,"['impôt', 'fortune', 'capital', 'gain', 'valeur', 'taxation', 'entreprise', 'chaîne', 'référendum', 'imposition']",590,5002,197181
574,finance,"['allégement', 'plafond', 'déduction', 'capital', 'outil', 'impôt', 'introduction', 'box', 'délocalisation', 'perdant']",605,5002,197254
577,finance,"['box', 'recherche', 'impôt', 'plafonnement', 'allégement', 'développement', 'limitation', 'déduction', 'réduction', 'capital']",608,5002,197275
579,finance,"['commune', 'ville', 'considération', 'intérêt', 'réforme', 'prise', 'libellé', 'version', 'défense', 'compte']",610,5002,197292
580,finance,"['statut', 'ville', 'commune', 'réforme', 'vérité', 'gauche', 'potentiel', 'suppression', 'équilibre', 'recette']",611,5002,197306
581,finance,"['imposition', 'step', 'péréquation', 'réforme', 'ressource', 'impôt', 'potentiel', 'statut', 'commune', 'compensation']",613,5002,197479
585,énergie,"['énergie', 'électricité', 'objectif', 'efficacité', 'économie', 'défaut', 'substitut', 'description', 'globalité', 'substitution']",617,5002,197445
589,énergie,"['énergie', 'économie', 'électricité', 'courant', 'tournant', 'potentiel', 'consommation', 'dos', 'efficacité', 'centrale']",621,5002,197450
593,énergie,"['électricité', 'matin', 'consommation', 'énergie', 'défi', 'objectif', 'collectivité', 'limitation', 'leitmotiv', 'polluante']",625,5002,197508
594,énergie,"['consommation', 'électricité', 'augmentation', 'efficacité', 'appareil', 'ménage', 'niveau', 'matinée', 'charbon', 'prix']",626,5002,197490
609,économie,"['pme', 'plafond', 'fusion', 'faveur', 'cautionnement', 'entreprise', 'intervention', 'hérisson', 'resserrement', 'argumentation']",641,5002,197639
615,santé,"['ovule', 'thème', 'don', 'anonymat', 'délai', 'instrument', 'acte', 'procréation', 'travail', 'traitement']",648,5002,197737
624,santé,"['ordonnance', 'texte', 'médicament', 'maintient', 'abstention', 'motivation', 'remise', 'papier', 'principe', 'profession']",659,5002,194797
628,économie,"['rabais', 'produit', 'avantage', 'enrichissement', 'règlementation', 'clarté', 'impression', 'achat', 'champ', 'tiers']",663,5002,194675
629,politique,"['ristourne', 'signalement', 'livre', 'autorité', 'rabais', 'mention', 'souci', 'octroi', 'présent', 'document']",664,5002,194798
631,santé,"['chiropracticien', 'ordonnance', 'médicament', 'pharmacien', 'volontier', 'réunion', 'insécurité', 'rémunération', 'juillet', 'exécution']",666,5002,194698
700,politique,"['renvoi', 'compétence', 'partage', 'sphère', 'technique', 'ore', 'sentiment', 'explication', 'part', 'lecture']",739,5002,196912
712,logement-territoire,"['bâtiment', 'stratégie', 'symbole', 'reconstruction', 'rénovation', 'renforcement', 'centenaire', 'universalité', 'dossier', 'coeur']",751,5002,197331
717,extérieur,"['victoire', 'échec', 'diplomatie', 'contraste', 'crise', 'opiniâtreté', 'communauté', 'ambition', 'orchestre', 'intérieur']",756,5002,197360
726,économie,"['métier', 'capital', 'numérique', 'étape', 'désindustrialisation', 'vie', 'élément', 'ensemble', 'programme', 'objectif']",765,5003,197937
728,économie,"['numérique', 'négociation', 'amendement', 'formation', 'échange', 'négociateur', 'travailleur', 'service', 'migrant', 'relation']",767,5003,197952
733,extérieur,"['abstention', 'coopération', 'objectif', 'langue', 'dopage', 'égalité', 'action', 'version', 'hôte', 'plurilinguisme']",772,5003,198036
